dataset_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
20,5,14256,2852,2851,0.3999999999999999,5.036472525326365,4.700105226236408,5.331462644686075,0.2039566370514198,5.036472525326365,4.700105226236408,5.331462644686075,0.2039566370514198,5,4,1,0.5,1.881136293715936,0.0185100196176623,2.9881736864076287,0.3684480012045464,8.753938579927592,0.0817521596699655,16.953050848469893,1.739203766883438,1.0,1,1,0,3.4,1,4,1.2000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
22,5,1186,238,237,0.4,4.975357231500195,4.201680672268908,6.329113924050633,0.8214892501284946,4.975357231500195,4.201680672268908,6.329113924050633,0.8214892501284946,5,5,0,6.0,1.5039735033107526,1.0566421579758424e-08,3.641675911907496,0.4047279824600741,8.33250594047628,1.1999767586463228,22.899812791397995,2.787746122493652,0.0,0,0,0,4.2,4,5,0.3999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
23,5,1311,263,262,0.4,4.498302034655908,2.6717557251908395,7.224334600760455,1.4857467357557348,4.498302034655908,2.6717557251908395,7.224334600760455,1.4857467357557348,5,5,0,6.0,1.4417721762891849,1.358723342838538e-07,3.695934503414593,0.7634155432415396,8.299462459727401,0.35284032204554,21.48774212608757,4.0797577057867,0.0,0,0,0,3.6,2,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
27,5,38880,7776,7776,0.0,4.9948559670781885,4.8353909465020575,5.156893004115226,0.1305409211980402,4.9948559670781885,4.8353909465020575,5.156893004115226,0.1305409211980402,6,5,1,0.1666666666666666,1.6412508777501842,0.024770625081115,2.9493179831476124,0.4377355996122616,8.377731518246172,0.4362689256336178,15.260082655189432,1.5547289601135847,1.0,1,1,0,5.0,4,6,0.6324555320336759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
29,5,19440,3888,3888,0.0,5.020576131687243,4.938271604938271,5.22119341563786,0.1021061380724237,5.020576131687243,4.938271604938271,5.22119341563786,0.1021061380724237,6,5,1,0.1666666666666666,0.3476871081981864,0.0290519029637735,0.8828833017155848,0.1033370101504368,0.8883498674792956,0.1529970889544807,2.2505124175012057,0.1911586472779915,1.0,1,1,0,1.8,1,5,1.6000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
30,5,6480,1296,1296,0.0,5.1080246913580245,4.398148148148148,5.709876543209877,0.4429845708150409,5.1080246913580245,4.398148148148148,5.709876543209877,0.4429845708150409,6,6,0,1.0,1.7420821426117872,1.4523202104276968e-05,3.0507517577155605,0.2577000751796368,8.896050903173018,0.1746825814815844,15.364149643970972,1.435233024433211,0.0,0,0,0,3.4,0,6,2.4166091947189146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.6730116670092565
31,5,5181,1037,1036,0.4,4.979540775104902,4.247104247104247,5.978784956605593,0.5726131550557075,4.979540775104902,4.247104247104247,5.978784956605593,0.5726131550557075,5,5,0,0.5,0.2300865376332195,0.0,0.5512132968167277,0.0789695795002134,0.7683183492021801,0.3197105674362066,1.2904386011172049,0.0466058733718651,0.0,0,0,0,0.4,0,1,0.4898979485566356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
32,5,47301,9461,9460,0.3999999999999999,4.961840675406526,4.6405919661733614,5.232558139534884,0.1902418857839721,4.961840675406526,4.6405919661733614,5.232558139534884,0.1902418857839721,6,5,1,0.1666666666666666,1.853967126344801,0.0292948716473297,3.136974100907486,0.5205456154524092,9.374827718707696,0.4105563589249286,17.473016947951336,2.515039145179084,1.0,1,1,0,4.2,1,5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
34,5,986,198,197,0.4,5.068451007537303,3.045685279187817,7.575757575757576,1.5270165407126026,5.068451007537303,3.045685279187817,7.575757575757576,1.5270165407126026,6,6,0,8.0,1.6463408463276792,0.0001459518936166,5.150335700546206,0.9831880405099906,9.98966101056342,0.4325569113994971,41.35520819769403,7.579190307273401,0.0,0,0,0,4.4,2,5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
35,5,986,198,197,0.4,5.070501974,3.553299492,7.106598985,1.24114235,5.070501974,3.553299492,7.106598985,1.24114235,4,4,0,8.0,1.633448268,1.01e-07,4.754451377,0.801686965,7.830328771,0.165367328,28.38408241,4.534933253,0.0,0,0,0,2.6,1,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
36,5,7776,1556,1555,0.4,4.951049356,3.8585209,5.59125964,0.590018924,4.951049356,3.8585209,5.59125964,0.590018924,2,1,1,0.166666667,1.21718457,0.062424365,1.723477754,,1.459344728,0.721304378,2.825384368,,1.0,1,1,0,0.8,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
37,5,11661,2333,2332,0.4,5.033889919,4.674099485,5.488850772,0.312552853,5.033889919,4.674099485,5.488850772,0.312552853,6,5,1,0.166666667,0.835979947,0.001293456,3.400705668,0.536153864,3.541949916,0.180084795,15.31125249,2.338825786,1.0,1,1,0,1.0,0,4,1.549193338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
39,5,38880,7776,7776,0.0,5.012860082,4.861111111,5.156893004,0.119647154,5.012860082,4.861111111,5.156893004,0.119647154,6,5,1,0.166666667,1.83370953,0.060767462,4.545456817,0.681489231,8.235052299,0.232055986,24.09645335,4.144783237,1.0,1,1,0,4.8,2,6,1.469693846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
45,5,12960,2592,2592,0.0,4.922839506,4.552469136,5.439814815,0.295435027,4.922839506,4.552469136,5.439814815,0.295435027,5,4,1,0.5,2.361905965,0.001253655,4.540150469,0.754198995,10.58946362,0.033713868,24.09808462,4.232102272,1.0,1,1,0,3.6,1,5,1.356465997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
48,5,23326,4666,4665,0.4,5.024440331,4.63022508,5.594855305,0.314701881,5.024440331,4.63022508,5.594855305,0.314701881,5,4,1,0.166666667,2.020762367,0.0,4.588950761,0.728579789,9.430997844,0.0,25.37845047,5.094196287,1.0,1,1,0,3.0,1,4,1.264911064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
49,5,11661,2333,2332,0.4,4.97387767,4.586369481,5.317324185,0.256450338,4.97387767,4.586369481,5.317324185,0.256450338,5,4,1,0.166666667,0.358963698,0.207530877,0.722012962,0.001747217,0.565597241,0.015122695,1.339761529,0.003399419,1.0,1,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
51,5,12960,2592,2592,0.0,4.992283951,4.591049383,5.478395062,0.327909404,4.992283951,4.591049383,5.478395062,0.327909404,6,5,1,0.5,1.647505842,0.008003733,2.848586227,0.327000919,8.091956053,0.383060132,14.98588752,1.522570663,1.0,1,1,0,4.6,2,6,1.356465997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
52,5,11661,2333,2332,0.4,4.991008272,4.502572899,5.317324185,0.289272379,4.991008272,4.502572899,5.317324185,0.289272379,5,4,1,0.166666667,0.33265815,0.145111946,0.619663792,0.001624784,0.567186144,0.215864943,1.041225368,0.003293496,1.0,1,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
54,5,42766,8554,8553,0.4,4.992289615,4.734627075,5.495147901,0.26866153,4.992289615,4.734627075,5.495147901,0.26866153,5,4,1,0.166666667,1.764524204,0.049801716,2.965099398,0.433066817,8.435020351,0.156389478,15.41015562,1.588800204,1.0,1,1,0,4.0,4,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
56,5,7776,1556,1555,0.4,5.04108151,4.372990354,5.852090032,0.596541144,5.04108151,4.372990354,5.852090032,0.596541144,4,3,1,0.166666667,0.662057968,0.061653603,2.143832313,0.399738134,1.171825928,0.144533883,3.429289706,0.432298455,1.0,1,1,0,0.8,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
58,5,3240,648,648,0.0,4.969135802,3.858024691,6.018518519,0.739453614,4.969135802,3.858024691,6.018518519,0.739453614,6,6,0,1.0,0.260394371,0.008417067,0.728393326,0.105951231,0.934424368,0.052485544,1.926228306,0.149954321,0.0,0,0,0,2.4,1,5,1.356465997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
60,5,11661,2333,2332,0.4,4.982446647,4.672096014,5.360205832,0.239120095,4.982446647,4.672096014,5.360205832,0.239120095,5,4,1,0.5,1.271240446,0.026806879,2.465352135,0.365806523,5.823301844,0.844181073,11.27046887,1.856727454,1.0,1,1,0,3.6,1,5,1.356465997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
68,5,2591,519,518,0.4,5.094814054,4.054054054,6.177606178,0.760053687,5.094814054,4.054054054,6.177606178,0.760053687,2,2,0,0.5,0.247375604,0.019297432,0.414218955,0.029178568,1.190129941,0.896666128,1.435219008,0.117388551,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
69,5,7776,1556,1555,0.4,4.86100067,4.180064309,5.719794344,0.639002925,4.86100067,4.180064309,5.719794344,0.639002925,1,0,1,0.166666667,,,,,,,,,1.0,1,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
70,5,7881,1577,1576,0.4,5.075458124,4.505076142,5.520304569,0.467535258,5.075458124,4.505076142,5.520304569,0.467535258,6,5,1,1.0,0.811999001,0.010729813,1.724970215,0.11343307,1.208105273,0.210940277,2.740893198,0.286044371,1.0,1,1,0,4.2,2,5,1.166190379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
71,5,47301,9461,9460,0.4,4.997771423,4.661733615,5.411690096,0.275513878,4.997771423,4.661733615,5.411690096,0.275513878,6,5,1,0.166666667,0.852128513,0.058651096,1.854500454,0.088767854,1.381374874,0.304714292,3.539887642,0.346902522,1.0,1,1,0,4.4,1,6,1.743559577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
73,5,31101,6221,6220,0.4,5.060925266,4.790996785,5.38585209,0.232729072,5.060925266,4.790996785,5.38585209,0.232729072,3,2,1,0.166666667,1.312054546,0.031418154,4.394632162,0.69995458,5.161260871,0.272619714,22.64152392,5.507376549,1.0,1,1,0,2.6,1,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
74,5,9071,1815,1814,0.4,4.971987085,4.077134986,6.229327453,0.787415284,4.971987085,4.077134986,6.229327453,0.787415284,6,5,1,0.5,1.404733951,0.024362524,4.235669148,0.002806575,5.377921203,0.815416915,21.01509255,0.01505724,1.0,1,1,0,3.0,1,6,2.449489743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
81,5,9071,1815,1814,0.4,4.883668802,4.630650496,5.123966942,0.157379394,4.883668802,4.630650496,5.123966942,0.157379394,4,3,1,0.5,0.069860152,0.003960672,0.186286183,0.000398321,1.086127515,0.796935987,1.293534084,0.000521585,1.0,1,1,0,1.6,1,4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
82,5,12960,2592,2592,0.0,4.953703704,4.668209877,5.208333333,0.225752143,4.953703704,4.668209877,5.208333333,0.225752143,5,4,1,0.5,0.129228373,0.033350044,0.348657126,0.000620875,0.802158185,0.269703366,1.159342766,0.000726345,1.0,1,1,0,5.0,5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
83,5,6480,1296,1296,0.0,5.015432099,4.166666667,6.172839506,0.669119858,5.015432099,4.166666667,6.172839506,0.669119858,2,1,1,0.5,0.124810674,0.023288721,0.393333227,,1.134993385,0.732136853,1.269786087,,1.0,1,1,0,1.4,1,2,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
85,5,5181,1037,1036,0.4,5.076233418,4.343629344,5.598455598,0.459202263,5.076233418,4.343629344,5.598455598,0.459202263,2,2,0,0.5,0.064401565,0.0,0.238752765,0.046056869,1.240928179,0.977141448,1.341132615,0.068985015,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
86,5,6480,1296,1296,0.0,5.092592593,4.62962963,5.401234568,0.276057775,5.092592593,4.62962963,5.401234568,0.276057775,4,3,1,1.0,0.107787669,0.044832855,0.233985836,0.001297641,0.864121405,0.530098401,1.135282938,0.002673121,1.0,1,1,0,3.4,1,4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
87,5,34991,6999,6998,0.4,5.029868514,4.758502429,5.401543298,0.225840652,5.029868514,4.758502429,5.401543298,0.225840652,5,4,1,0.166666667,0.053195418,0.000523783,0.213882873,0.00027216,1.126516414,0.88913521,1.286374763,6.48e-05,1.0,1,1,0,3.4,1,5,1.959591794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
88,5,38880,7776,7776,0.0,4.974279835,4.848251029,5.182613169,0.117414735,4.974279835,4.848251029,5.182613169,0.117414735,5,4,1,0.166666667,0.11580385,0.046530625,0.325855317,0.000158176,0.818077864,0.312243442,1.181641786,0.000171556,1.0,1,1,0,3.4,1,5,1.959591794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
89,5,5831,1167,1166,0.4,5.042161441,4.198800343,6.003430532,0.578663155,5.042161441,4.198800343,6.003430532,0.578663155,4,3,1,1.0,0.070276743,0.00019116,0.256598511,0.001518527,1.124001895,0.884342435,1.297494209,0.000342203,1.0,1,1,0,2.8,1,4,1.469693846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
92,5,1311,263,262,0.4,5.187356689,3.816793893,6.870229008,1.123819598,5.187356689,3.816793893,6.870229008,1.123819598,4,4,0,6.0,0.09335367,0.0047775,0.278987711,0.030894165,1.004753839,0.600661317,1.443033465,0.057019378,0.0,0,0,0,3.0,1,4,1.264911064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
95,5,1296,260,259,0.4,5.247104247,3.474903475,7.335907336,1.283596526,5.247104247,3.474903475,7.335907336,1.283596526,3,3,0,1.0,0.250462105,0.039321377,0.426668437,0.035819528,1.245943178,0.893653904,1.468424329,0.10248248,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
96,5,27216,5444,5443,0.4,4.982366177,4.904481999,5.217710821,0.118273134,4.982366177,4.904481999,5.217710821,0.118273134,5,4,1,0.166666667,0.068032724,0.007596932,0.207799059,0.000192454,1.0872034,0.771053591,1.276170705,0.000101896,1.0,1,1,0,1.8,1,5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
98,5,38880,7776,7776,0.0,5.066872428,4.951131687,5.169753086,0.075863586,5.066872428,4.951131687,5.169753086,0.075863586,5,4,1,0.166666667,1.315137423,0.323525183,4.406975984,6.56e-05,4.772359519,0.164613005,22.67598478,0.000330146,1.0,1,1,0,3.4,1,5,1.959591794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
107,5,11661,2333,2332,0.4,5.033875214,4.716981132,5.403087479,0.219696476,5.033875214,4.716981132,5.403087479,0.219696476,1,0,1,0.166666667,,,,,,,,,1.0,1,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
109,5,7776,1556,1555,0.4,5.015209251,3.922829582,6.748071979,0.96091877,5.015209251,3.922829582,6.748071979,0.96091877,4,3,1,0.5,1.967404281,0.109583091,4.699588754,0.000492689,10.5140508,1.156220957,27.25485118,0.003278379,1.0,1,1,0,2.2,1,4,1.469693846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
111,5,1186,238,237,0.4,5.058681701,2.953586498,5.907172996,1.098556947,5.058681701,2.953586498,5.907172996,1.098556947,5,5,0,6.0,0.692356806,0.0,4.354268975,0.653553308,3.089238785,0.0,27.54417363,4.445148139,0.0,0,0,0,3.6,3,4,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
112,5,12960,2592,2592,0.0,4.984567901,4.282407407,5.439814815,0.435393086,4.984567901,4.282407407,5.439814815,0.435393086,6,5,1,0.5,1.42402263,0.172386298,4.473290762,0.724059699,5.121205111,0.111975531,23.39491316,3.650407997,1.0,1,1,0,5.0,3,6,1.264911064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
114,5,7776,1556,1555,0.4,4.989849478,3.920308483,5.78778135,0.683309791,4.989849478,3.920308483,5.78778135,0.683309791,1,0,1,0.166666667,,,,,,,,,1.0,1,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
118,5,19440,3888,3888,0.0,5.072016461,4.552469136,5.787037037,0.417396353,5.072016461,4.552469136,5.787037037,0.417396353,2,1,1,0.166666667,0.128141015,0.022518396,0.40561721,,1.149627419,0.746149657,1.295203827,,1.0,1,1,0,1.2,1,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
120,5,9071,1815,1814,0.4,5.071112043,4.740904079,5.567805954,0.304050405,5.071112043,4.740904079,5.567805954,0.304050405,4,3,1,0.5,0.058312286,0.008334694,0.196076332,0.000499877,1.115523508,0.835215633,1.292742357,0.00018297,1.0,1,1,0,2.2,1,4,1.469693846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
121,5,2591,519,518,0.4,5.055906443,4.633204633,5.405405405,0.282657763,5.055906443,4.633204633,5.405405405,0.282657763,2,2,0,0.5,0.252019589,0.021532938,0.433043312,0.016959489,1.192384607,0.893952691,1.455032904,0.114400425,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
